external_id,brand,processor,ram,ssd,hard_disk,operating_system,graphics,screen_size,resolution
LAP-000001,Lenovo,11th Gen Core i3,8,512,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000002,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000003,Lenovo,11th Gen Core i3,8,256,1000,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000004,Asus,Ryzen 5-5600H,8,512,0,Windows,AMD Radeon Vega 7,16.0,1200x1920
LAP-000005,HP,11th Gen Core i5,8,512,0,Windows,Intel Integrated Iris Xe,15.6,1920x1080
LAP-000006,Lenovo,11th Gen Core i5,8,256,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000007,Infinix,12th Gen Core i9,16,512,0,Windows,Missing,15.6,1920x1080
LAP-000008,HP,AMD Athlon Silver 3050U,8,512,0,Windows,AMD Radeon Graphics,15.6,1366x768
LAP-000009,Dell,12th Gen Core i3,8,512,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000010,Dell,11th Gen Core i3,8,512,0,Windows,Intel UHD Graphics,15.56,1920x1080
LAP-000011,Asus,Ryzen 7 5800H,16,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000012,Apple,Apple M1,8,256,0,Mac,Apple M1 Integrated Graphics,13.3,2560x1600
LAP-000013,HP,12th Gen Core i3,8,512,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000014,HP,12th Gen Core i5,8,512,0,Windows,Intel Iris Xe,15.6,1920x1080
LAP-000015,Dell,12th Gen Core i5,8,512,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000016,Asus,AMD Ryzen 5 4600H,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000017,HP,AMD Ryzen 3 3250U,8,256,0,Windows,AMD Radeon,15.6,1920x1080
LAP-000018,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000019,Realme,11th Gen Core i5,8,512,0,Windows,Intel Iris Xe Graphics,14.0,1440x2160
LAP-000020,Asus,Ryzen 5-5600H,16,512,0,Windows,AMD Radeon Vega 7 Graphics,16.0,1920x1200
LAP-000021,Apple,Apple M2,8,256,0,Mac,8-Core GPU,13.6,2560x1664
LAP-000022,Asus,10th Gen Core i3,8,0,1000,Windows,Intel UHD Graphics,14.0,1920x1080
LAP-000023,HP,11th Gen Core i3,8,512,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000024,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD Radeon Graphics,15.6,1920x1080
LAP-000025,Lenovo,AMD Ryzen 5 5500U,8,512,0,Windows,AMD Radeon Graphics,15.6,1920x1080
LAP-000026,Lenovo,Athlon Gold 3150U,4,256,0,Windows,AMD Radeon RADEON,14.0,1920x1080
LAP-000027,Asus,11th Gen Core i3,8,512,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000028,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000029,HP,11th Gen Core i3,8,512,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000030,Asus,AMD Ryzen 5 4600H,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,17.3,1920x1080
LAP-000031,HP,12th Gen Core i5,8,512,0,Windows,Intel Iris Xe,15.6,1920x1080
LAP-000032,HP,AMD Ryzen 3 5300U,8,512,0,Windows,AMD Radeon Graphics,15.6,1920x1080
LAP-000033,Dell,12th Gen Core i5,8,256,1000,Windows,Intel Iris Xe Graphics,15.6,1920x1080
LAP-000034,HP,AMD Ryzen 3  3250U,8,0,1000,Windows,AMD Radeon Graphics,14.0,1920x1080
LAP-000035,Acer,AMD Ryzen 3 3250U,4,256,0,Windows,AMD Radeon Radeon Graphics,14.0,1366x768
LAP-000036,Acer,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920x1080
LAP-000037,Dell,12th Gen Core i7,16,512,0,Windows,Intel Integrated UHD,13.3,1920x1080
LAP-000038,MSI,Ryzen 5 5600H,8,512,0,Windows,4 GB AMD Radeon RX 5500M,15.6,1920x1080
LAP-000039,Lenovo,AMD Ryzen 5 5500U,16,512,0,Windows,AMD Radeon,14.0,1920x1200
LAP-000040,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000041,Lenovo,AMD Ryzen 3 3250U,8,512,0,Windows,AMD Radeon Graphics,15.6,1920x1080
LAP-000042,Asus,12th Gen Core i5,16,512,0,Windows,Intel Iris XE Graphics,15.6,1920x1080
LAP-000043,Lenovo,Celeron N4020,4,0,128,Windows,Intel UHD Graphics 600,10.1,1200x800
LAP-000044,Infinix,10th Gen Core i3,8,256,0,Windows,Intel Integrated UHD,14.0,1920x1080
LAP-000045,Realme,11th Gen Core i5,8,512,0,Windows,Intel Iris Xe Graphics,14.0,1440x2160
LAP-000046,Infinix,12th Gen Core i7,16,512,0,Windows,Intel Integrated Iris Xe,15.6,1920x1080
LAP-000047,Asus,11th Gen Core i7,16,512,0,Windows,Intel Iris Xe Graphics,15.6,1920x1080
LAP-000048,Lenovo,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000049,Asus,Ryzen 5 5600H,8,512,0,Windows,AMD Radeon Graphics,14.0,2880x1800
LAP-000050,HP,12th Gen Core i5,16,512,0,Windows,Intel Integrated Iris Xe,14.0,1920x1080
LAP-000051,Lenovo,AMD Ryzen 5-5600H,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000052,Asus,Ryzen 7-4800H,16,512,0,Windows,4 GB NVIDIA GeForce GTX 1650 Max Q,15.6,1920x1080
LAP-000053,Asus,AMD Ryzen 5 4600H,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000054,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920x1080
LAP-000055,Lenovo,12th Gen Core i5,16,512,0,Windows,Intel Iris Xe Graphics,15.6,1920x1080
LAP-000056,Acer,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA GeForce RTX 2050,15.6,1920x1080
LAP-000057,Asus,11th Gen Core i3,8,512,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000058,HP,12th Gen Core i5,16,512,0,Windows,Intel Integrated Intel Iris Xe Graphics,14.0,1920x1080
LAP-000059,Asus,12th Gen Core i3,8,512,0,Windows,Intel Iris Xe,15.6,1920x1080
LAP-000060,Lenovo,12th Gen Core i5,8,512,0,Windows,‎Intel Iris Xe Graphics,15.6,1920x1080
LAP-000061,MSI,11th Gen Core i7,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650 MAX Q,15.6,1920x1080
LAP-000062,Asus,12th Gen Core i7,16,1000,0,Windows,Intel Iris Xe Graphics,17.3,2560x1920
LAP-000063,Nokia,11th Gen Core i5,16,512,0,Windows,Intel Integrated Iris Xe,14.1,1920x1080
LAP-000064,Dell,11th Gen Core i5,8,512,0,Windows,Intel UHD Graphics,14.0,1366x768
LAP-000065,Acer,Ryzen 5 7520U,8,512,0,Windows,AMD Radeon Graphiics,15.6,1920x1080
